2167: oifs taskset -c 92-95
2162: oifs taskset -c 72-75
2166: oifs taskset -c 88-91
2163: oifs taskset -c 76-79
2168: oifs taskset -c 96-99
2169: oifs taskset -c 100-103
2170: oifs taskset -c 104-107
2171: oifs taskset -c 108-111
2172: oifs taskset -c 112-115
2173: oifs taskset -c 116-119
2174: oifs taskset -c 120-123
2175: oifs taskset -c 124-127
2151: oifs taskset -c 28-31
2146: oifs taskset -c 8-11
2144: oifs taskset -c 0-3
2155: oifs taskset -c 44-47
2149: oifs taskset -c 20-23
2156: oifs taskset -c 48-51
2158: oifs taskset -c 56-59
2145: oifs taskset -c 4-7
2147: oifs taskset -c 12-15
 160: fesom taskset -c 64-65
 161: fesom taskset -c 66-67
 166: fesom taskset -c 76-77
 174: fesom taskset -c 92-93
 168: fesom taskset -c 80-81
 184: fesom taskset -c 112-113
 190: fesom taskset -c 124-125
 171: fesom taskset -c 86-87
 187: fesom taskset -c 118-119
 191: fesom taskset -c 126-127
 185: fesom taskset -c 114-115
 175: fesom taskset -c 94-95
 159: fesom taskset -c 62-63
 153: fesom taskset -c 50-51
 156: fesom taskset -c 56-57
 157: fesom taskset -c 58-59
 167: fesom taskset -c 78-79
 154: fesom taskset -c 52-53
 148: fesom taskset -c 40-41
 151: fesom taskset -c 46-47
 130: fesom taskset -c 4-5
 133: fesom taskset -c 10-11
 146: fesom taskset -c 36-37
 158: fesom taskset -c 60-61
 170: fesom taskset -c 84-85
 172: fesom taskset -c 88-89
 128: fesom taskset -c 0-1
 145: fesom taskset -c 34-35
 149: fesom taskset -c 42-43
 164: fesom taskset -c 72-73
 165: fesom taskset -c 74-75
 135: fesom taskset -c 14-15
 137: fesom taskset -c 18-19
 138: fesom taskset -c 20-21
 139: fesom taskset -c 22-23
 140: fesom taskset -c 24-25
 142: fesom taskset -c 28-29
 147: fesom taskset -c 38-39
 163: fesom taskset -c 70-71
 169: fesom taskset -c 82-83
 173: fesom taskset -c 90-91
 188: fesom taskset -c 120-121
 129: fesom taskset -c 2-3
 131: fesom taskset -c 6-7
 132: fesom taskset -c 8-9
 134: fesom taskset -c 12-13
 136: fesom taskset -c 16-17
 141: fesom taskset -c 26-27
 143: fesom taskset -c 30-31
 144: fesom taskset -c 32-33
 150: fesom taskset -c 44-45
 152: fesom taskset -c 48-49
 155: fesom taskset -c 54-55
 162: fesom taskset -c 68-69
 176: fesom taskset -c 96-97
 177: fesom taskset -c 98-99
 178: fesom taskset -c 100-101
 179: fesom taskset -c 102-103
 180: fesom taskset -c 104-105
 181: fesom taskset -c 106-107
 182: fesom taskset -c 108-109
 183: fesom taskset -c 110-111
 186: fesom taskset -c 116-117
 189: fesom taskset -c 122-123
 265: fesom taskset -c 18-19
 285: fesom taskset -c 58-59
 290: fesom taskset -c 68-69
 293: fesom taskset -c 74-75
 288: fesom taskset -c 64-65
 306: fesom taskset -c 100-101
 309: fesom taskset -c 106-107
 272: fesom taskset -c 32-33
 277: fesom taskset -c 42-43
 304: fesom taskset -c 96-97
 274: fesom taskset -c 36-37
 297: fesom taskset -c 82-83
 298: fesom taskset -c 84-85
 299: fesom taskset -c 86-87
 301: fesom taskset -c 90-91
 270: fesom taskset -c 28-29
 281: fesom taskset -c 50-51
 282: fesom taskset -c 52-53
 310: fesom taskset -c 108-109
 280: fesom taskset -c 48-49
 287: fesom taskset -c 62-63
 300: fesom taskset -c 88-89
 259: fesom taskset -c 6-7
 260: fesom taskset -c 8-9
 264: fesom taskset -c 16-17
 284: fesom taskset -c 56-57
 256: fesom taskset -c 0-1
 291: fesom taskset -c 70-71
 283: fesom taskset -c 54-55
 303: fesom taskset -c 94-95
 278: fesom taskset -c 44-45
 289: fesom taskset -c 66-67
 269: fesom taskset -c 26-27
 271: fesom taskset -c 30-31
 275: fesom taskset -c 38-39
 266: fesom taskset -c 20-21
 267: fesom taskset -c 22-23
 276: fesom taskset -c 40-41
 279: fesom taskset -c 46-47
 286: fesom taskset -c 60-61
 292: fesom taskset -c 72-73
 294: fesom taskset -c 76-77
 295: fesom taskset -c 78-79
 296: fesom taskset -c 80-81
 302: fesom taskset -c 92-93
 308: fesom taskset -c 104-105
 257: fesom taskset -c 2-3
 258: fesom taskset -c 4-5
 261: fesom taskset -c 10-11
 262: fesom taskset -c 12-13
 263: fesom taskset -c 14-15
 268: fesom taskset -c 24-25
 273: fesom taskset -c 34-35
 305: fesom taskset -c 98-99
 307: fesom taskset -c 102-103
 311: fesom taskset -c 110-111
 312: fesom taskset -c 112-113
 313: fesom taskset -c 114-115
 314: fesom taskset -c 116-117
 315: fesom taskset -c 118-119
 316: fesom taskset -c 120-121
 317: fesom taskset -c 122-123
 318: fesom taskset -c 124-125
 319: fesom taskset -c 126-127
  85: fesom taskset -c 42-43
  88: fesom taskset -c 48-49
  90: fesom taskset -c 52-53
  79: fesom taskset -c 30-31
  97: fesom taskset -c 66-67
1062: fesom taskset -c 76-77
